time,r_gripper_vel_norm
2.625000000000000000e+00,4.051283531060955734e-01
2.625999999999999890e+00,4.076608834581875729e-01
2.627000000000000224e+00,4.102466906496085031e-01
2.628000000000000114e+00,4.125601874812741543e-01
2.629000000000000004e+00,4.146518875602212550e-01
2.629999999999999893e+00,4.165783885313376622e-01
2.631000000000000227e+00,4.183854915691158638e-01
2.632000000000000117e+00,4.201107850046171821e-01
2.633000000000000007e+00,4.217850291974641896e-01
2.633999999999999897e+00,4.234328250318958320e-01
2.635000000000000231e+00,4.250736472365996832e-01
2.636000000000000121e+00,4.267232223232717558e-01
2.637000000000000011e+00,4.283936355739342838e-01
2.637999999999999901e+00,4.300941855572768535e-01
2.639000000000000234e+00,4.318318447923952252e-01
2.640000000000000124e+00,4.336117273225591484e-01
2.641000000000000014e+00,4.354374291449369938e-01
2.641999999999999904e+00,4.370996144280892559e-01
2.643000000000000238e+00,4.388397211002317833e-01
2.644000000000000128e+00,4.406595680044715913e-01
2.645000000000000018e+00,4.425593260855933408e-01
2.645999999999999908e+00,4.445379460355941004e-01
2.647000000000000242e+00,4.465934310816884745e-01
2.648000000000000131e+00,4.487231630533214388e-01
2.649000000000000021e+00,4.509240858995349210e-01
2.649999999999999911e+00,4.531929220639536182e-01
2.651000000000000245e+00,4.555263191767761621e-01
2.652000000000000135e+00,4.579207808575802008e-01
2.653000000000000025e+00,4.603729366592837491e-01
2.653999999999999915e+00,4.628794884062168435e-01
2.655000000000000249e+00,4.654372956216724644e-01
2.656000000000000139e+00,4.679402763298928236e-01
2.657000000000000028e+00,4.697628927992056336e-01
2.657999999999999918e+00,4.709751717634794721e-01
2.659000000000000252e+00,4.685446192290093070e-01
2.660000000000000142e+00,4.639177154103761858e-01
2.661000000000000032e+00,4.629392833800997087e-01
2.661999999999999922e+00,4.635848068970503388e-01
2.663000000000000256e+00,4.639236619761540892e-01
2.664000000000000146e+00,4.638768244832383592e-01
2.665000000000000036e+00,4.637165447983724875e-01
2.665999999999999925e+00,4.636809549019128007e-01
2.667000000000000259e+00,4.635947549462366979e-01
2.668000000000000149e+00,4.634170827780018653e-01
2.669000000000000039e+00,4.631533462587060224e-01
2.669999999999999929e+00,4.628106908996792446e-01
