time,r_gripper_vel_norm
4.052000000000000490e+00,6.737888797993032862e-06
4.052999999999999936e+00,6.723753330756126627e-06
4.054000000000000270e+00,6.728725149700803839e-06
4.054999999999999716e+00,6.750998415742532907e-06
4.056000000000000050e+00,6.787990374178191251e-06
4.057000000000000384e+00,6.838047500324038748e-06
4.057999999999999829e+00,6.898940973335846450e-06
4.059000000000000163e+00,6.969355166022310768e-06
4.060000000000000497e+00,7.047291266125195423e-06
4.060999999999999943e+00,7.131104325276569514e-06
4.062000000000000277e+00,7.219956088319603600e-06
4.062999999999999723e+00,7.312375402917342604e-06
4.064000000000000057e+00,7.407233379677052973e-06
4.065000000000000391e+00,7.504554108095752074e-06
4.065999999999999837e+00,7.603019917335109977e-06
4.067000000000000171e+00,7.701720870986174196e-06
4.068000000000000504e+00,7.800139640161162294e-06
4.068999999999999950e+00,7.897874263308734760e-06
4.070000000000000284e+00,7.994393746864497956e-06
4.070999999999999730e+00,8.089604722717122227e-06
4.072000000000000064e+00,8.183154454361966839e-06
4.073000000000000398e+00,8.274303406279161297e-06
4.073999999999999844e+00,8.363435528682045716e-06
4.075000000000000178e+00,8.450373232390655733e-06
4.076000000000000512e+00,8.534910420937592959e-06
4.076999999999999957e+00,8.616736253180604495e-06
4.078000000000000291e+00,8.695977598604472033e-06
4.078999999999999737e+00,8.772382642287318230e-06
4.080000000000000071e+00,8.846362761377041928e-06
4.081000000000000405e+00,8.917554494159549944e-06
4.081999999999999851e+00,8.985796355355359988e-06
4.083000000000000185e+00,9.051844490343094631e-06
4.084000000000000519e+00,9.114815010844690463e-06
4.084999999999999964e+00,9.175038437085772061e-06
4.086000000000000298e+00,9.232795845038600137e-06
4.086999999999999744e+00,9.287827003810523340e-06
4.088000000000000078e+00,9.340673299019270858e-06
4.089000000000000412e+00,9.390814457821507796e-06
4.089999999999999858e+00,9.438810861837020660e-06
4.091000000000000192e+00,9.484426065951966976e-06
4.092000000000000526e+00,9.527987090363375917e-06
4.092999999999999972e+00,9.569255178981168924e-06
4.094000000000000306e+00,9.608491812057476204e-06
4.094999999999999751e+00,9.645829099333711325e-06
4.096000000000000085e+00,9.681060395608677828e-06
4.097000000000000419e+00,9.714211062639583347e-06
4.097999999999999865e+00,9.745574871109854591e-06
4.099000000000000199e+00,9.775370160090268091e-06
4.099999999999999645e+00,9.803645013243522983e-06
4.100999999999999979e+00,9.830596197136274073e-06
4.102000000000000313e+00,9.855871061878617007e-06
4.102999999999999758e+00,9.879583890114030154e-06
4.104000000000000092e+00,9.902090589153831436e-06
4.105000000000000426e+00,9.923192058604430761e-06
4.105999999999999872e+00,9.945732468251393404e-06
4.107000000000000206e+00,9.965846519439417213e-06
4.107999999999999652e+00,9.984485483255940149e-06
4.108999999999999986e+00,1.000173538713823835e-05
4.110000000000000320e+00,1.001750791491285750e-05
4.110999999999999766e+00,1.003198723652730566e-05
4.112000000000000099e+00,1.004546997329978023e-05
4.113000000000000433e+00,1.005813816092741366e-05
4.113999999999999879e+00,1.007005093255820979e-05
4.115000000000000213e+00,1.008084046757054662e-05
4.115999999999999659e+00,1.009107704211410146e-05
4.116999999999999993e+00,1.010052496494095327e-05
4.118000000000000327e+00,1.010954753060393934e-05
4.118999999999999773e+00,1.011798439565777676e-05
4.120000000000000107e+00,1.012593887685551672e-05
4.121000000000000441e+00,1.013350884080802997e-05
4.121999999999999886e+00,1.014021746176509992e-05
4.123000000000000220e+00,1.014654636574211576e-05
4.123999999999999666e+00,1.015255785172556471e-05
4.125000000000000000e+00,1.015807643182045723e-05
4.126000000000000334e+00,1.016336161587072208e-05
4.126999999999999780e+00,1.016823451184621963e-05
4.128000000000000114e+00,1.017289467811735134e-05
4.129000000000000448e+00,1.017705809258650463e-05
4.129999999999999893e+00,1.018108725003718468e-05
4.131000000000000227e+00,1.018491436205500875e-05
4.131999999999999673e+00,1.018841089804739158e-05
4.133000000000000007e+00,1.019190240915584172e-05
4.134000000000000341e+00,1.019160697185349830e-05
4.134999999999999787e+00,9.941322309004598054e-06
4.136000000000000121e+00,9.744048629280757873e-06
4.137000000000000455e+00,9.576787011055027434e-06
4.137999999999999901e+00,9.432605761644716745e-06
4.139000000000000234e+00,9.308729909639268778e-06
4.139999999999999680e+00,9.202522595723766250e-06
4.141000000000000014e+00,9.111141194098928400e-06
4.142000000000000348e+00,9.032317228659948920e-06
4.142999999999999794e+00,8.964472538688362087e-06
4.144000000000000128e+00,8.905661316269539426e-06
4.145000000000000462e+00,8.854530223665729502e-06
4.145999999999999908e+00,8.810236887166150198e-06
4.147000000000000242e+00,8.771551067325887097e-06
4.147999999999999687e+00,8.737973599619357768e-06
4.149000000000000021e+00,8.708929375460953742e-06
4.150000000000000355e+00,8.683696074509692251e-06
4.150999999999999801e+00,8.661494331364461203e-06
4.152000000000000135e+00,8.642402778013178307e-06
4.153000000000000469e+00,8.625866513543636589e-06
4.153999999999999915e+00,8.611622846182142500e-06
4.155000000000000249e+00,8.599695632991532793e-06
4.155999999999999694e+00,8.589945666285733828e-06
4.157000000000000028e+00,8.581811588757571702e-06
4.158000000000000362e+00,8.575487037096362472e-06
4.158999999999999808e+00,8.571063714384609988e-06
4.160000000000000142e+00,8.568454536023254055e-06
4.161000000000000476e+00,8.567507100971619266e-06
4.161999999999999922e+00,8.568433715609294940e-06
4.163000000000000256e+00,8.571254000496850465e-06
4.163999999999999702e+00,8.575626501229805963e-06
4.165000000000000036e+00,8.581976706011817114e-06
4.166000000000000369e+00,8.590126974376345150e-06
4.166999999999999815e+00,8.599903702976322901e-06
4.168000000000000149e+00,8.611672685640723652e-06
4.169000000000000483e+00,8.625237331545886497e-06
4.169999999999999929e+00,8.640538288456574141e-06
4.171000000000000263e+00,8.660862654277728343e-06
4.171999999999999709e+00,8.681582249435882632e-06
4.173000000000000043e+00,8.703895006380148064e-06
4.174000000000000377e+00,8.727489322569920079e-06
4.174999999999999822e+00,8.752734310165826410e-06
4.176000000000000156e+00,8.779814370561205515e-06
4.177000000000000490e+00,8.808926001049159502e-06
4.177999999999999936e+00,8.839976735042356787e-06
4.179000000000000270e+00,8.872918593300897652e-06
4.179999999999999716e+00,8.908308757671001089e-06
4.181000000000000050e+00,8.945814712470684323e-06
4.182000000000000384e+00,8.985433194572848704e-06
4.182999999999999829e+00,9.027345245738878344e-06
4.184000000000000163e+00,9.071360467643679754e-06
4.185000000000000497e+00,9.117866610886219428e-06
4.185999999999999943e+00,9.166701838578227826e-06
4.187000000000000277e+00,9.218422525350394644e-06
4.187999999999999723e+00,9.272622407956813951e-06
4.189000000000000057e+00,9.318800602405127281e-06
4.190000000000000391e+00,9.358675515520694955e-06
4.190999999999999837e+00,9.393204468122271560e-06
4.192000000000000171e+00,9.423049209782812099e-06
4.193000000000000504e+00,9.449338539115891507e-06
4.193999999999999950e+00,9.472200371304284190e-06
4.195000000000000284e+00,9.492565277441634196e-06
4.195999999999999730e+00,9.511031257006339473e-06
4.197000000000000064e+00,9.527631207690726855e-06
4.198000000000000398e+00,9.542955117258867322e-06
4.198999999999999844e+00,9.556960352241753687e-06
4.200000000000000178e+00,9.570274883323929253e-06
4.201000000000000512e+00,9.582575355169050009e-06
4.201999999999999957e+00,9.594454126070901774e-06
4.203000000000000291e+00,9.605876713503541103e-06
4.203999999999999737e+00,9.617068073805484625e-06
4.205000000000000071e+00,9.627785230038890204e-06
4.206000000000000405e+00,9.638756028886203236e-06
4.206999999999999851e+00,9.649296617367215885e-06
4.208000000000000185e+00,9.659694596895429351e-06
4.209000000000000519e+00,9.670110745133929755e-06
4.209999999999999964e+00,9.683167648910408220e-06
4.211000000000000298e+00,9.695255228827238592e-06
4.211999999999999744e+00,9.706893742429005813e-06
4.213000000000000078e+00,9.718118260723659983e-06
4.214000000000000412e+00,9.728685863688189481e-06
4.214999999999999858e+00,9.739287550088321840e-06
4.216000000000000192e+00,9.749615374814259419e-06
4.217000000000000526e+00,9.759987055752004207e-06
4.217999999999999972e+00,9.770216487095637910e-06
4.219000000000000306e+00,9.780549987983151096e-06
4.219999999999999751e+00,9.791175898918220118e-06
4.221000000000000085e+00,9.801883591607853287e-06
4.222000000000000419e+00,9.812621008677397500e-06
4.222999999999999865e+00,9.823362436642789952e-06
4.224000000000000199e+00,9.833742828202158287e-06
4.224999999999999645e+00,9.844276484733864853e-06
4.225999999999999979e+00,9.854932859326189163e-06
4.227000000000000313e+00,9.865127699317267625e-06
4.227999999999999758e+00,9.875512746326806494e-06
4.229000000000000092e+00,9.886126159228095610e-06
4.230000000000000426e+00,9.895610947557864973e-06
4.230999999999999872e+00,9.902521701414152846e-06
4.232000000000000206e+00,9.907601433828111317e-06
4.232999999999999652e+00,9.911109632338084799e-06
4.233999999999999986e+00,9.913427640040119000e-06
4.235000000000000320e+00,9.914687790323902951e-06
4.235999999999999766e+00,9.915175114262387613e-06
4.237000000000000099e+00,9.914431983278971968e-06
4.238000000000000433e+00,9.913361051474543523e-06
4.238999999999999879e+00,9.911569419567569067e-06
4.240000000000000213e+00,9.909346962178903557e-06
4.240999999999999659e+00,9.906839403266266985e-06
4.241999999999999993e+00,9.903953511243550757e-06
4.243000000000000327e+00,9.900721852361098608e-06
4.243999999999999773e+00,9.897045236673129932e-06
4.245000000000000107e+00,9.893057128815944831e-06
4.246000000000000441e+00,9.889170961945278733e-06
4.246999999999999886e+00,9.887972731633687688e-06
4.248000000000000220e+00,9.885591559313679420e-06
4.248999999999999666e+00,9.882320072275634039e-06
4.250000000000000000e+00,9.878395314548967865e-06
4.251000000000000334e+00,9.874299868987785684e-06
4.251999999999999780e+00,9.869711817883727804e-06
4.253000000000000114e+00,9.865160918313479175e-06
4.254000000000000448e+00,9.860181849975067659e-06
4.254999999999999893e+00,9.855156975313201858e-06
4.256000000000000227e+00,9.849689107854253361e-06
4.256999999999999673e+00,9.844275108310097749e-06
4.258000000000000007e+00,9.839203844150674173e-06
4.259000000000000341e+00,9.833809016476718898e-06
4.259999999999999787e+00,9.828276402041999431e-06
4.261000000000000121e+00,9.822766699045504100e-06
4.262000000000000455e+00,9.817188935577729825e-06
4.262999999999999901e+00,9.811354524090605829e-06
4.264000000000000234e+00,9.799824437039752304e-06
4.264999999999999680e+00,9.314739577724692420e-06
4.266000000000000014e+00,8.942688056837701851e-06
4.267000000000000348e+00,8.627008617796904659e-06
4.267999999999999794e+00,8.362176290154587247e-06
4.269000000000000128e+00,8.140567617877857523e-06
4.270000000000000462e+00,7.956040714484689008e-06
4.270999999999999908e+00,7.802330399181384989e-06
4.272000000000000242e+00,7.674195923611903242e-06
4.272999999999999687e+00,7.567617875907547434e-06
4.274000000000000021e+00,7.478967010988996795e-06
4.275000000000000355e+00,7.405048843817703244e-06
4.275999999999999801e+00,7.343345353922507122e-06
4.277000000000000135e+00,7.291516019018935598e-06
4.278000000000000469e+00,7.248001563132818740e-06
4.278999999999999915e+00,7.211211543249970153e-06
4.280000000000000249e+00,7.180337941200932291e-06
4.280999999999999694e+00,7.154250200351327277e-06
4.282000000000000028e+00,7.135570835937657957e-06
4.283000000000000362e+00,7.118700292744142080e-06
4.283999999999999808e+00,7.104007779217985233e-06
4.285000000000000142e+00,7.090780308238412752e-06
4.286000000000000476e+00,7.078796231236694336e-06
4.286999999999999922e+00,7.067940846739382535e-06
4.288000000000000256e+00,7.058147010745485855e-06
4.288999999999999702e+00,7.049464304053833302e-06
4.290000000000000036e+00,7.041295615889751051e-06
4.291000000000000369e+00,7.033987861427627786e-06
4.291999999999999815e+00,7.027112380130934817e-06
4.293000000000000149e+00,7.020967878198858707e-06
4.294000000000000483e+00,7.015208952137233366e-06
4.294999999999999929e+00,7.009842020182146558e-06
4.296000000000000263e+00,7.005068417652752555e-06
4.296999999999999709e+00,7.000586426491950847e-06
4.298000000000000043e+00,6.996628747624631158e-06
4.299000000000000377e+00,6.993297601017551906e-06
4.299999999999999822e+00,6.990073557636137734e-06
4.301000000000000156e+00,6.987022286642445619e-06
4.302000000000000490e+00,6.984373880069041343e-06
4.302999999999999936e+00,6.981839253652199057e-06
4.304000000000000270e+00,6.979544305368853984e-06
4.304999999999999716e+00,6.977490357517595753e-06
4.306000000000000050e+00,6.975821964904706398e-06
4.307000000000000384e+00,6.974519399709179663e-06
4.307999999999999829e+00,6.973570295028233256e-06
4.309000000000000163e+00,6.972762460383034393e-06
4.310000000000000497e+00,6.972117557458708758e-06
4.310999999999999943e+00,6.971673015719399207e-06
4.312000000000000277e+00,6.971562891145209026e-06
4.312999999999999723e+00,6.974019927980034513e-06
4.314000000000000057e+00,7.145514312332127399e-06
4.315000000000000391e+00,7.272566392735696925e-06
4.315999999999999837e+00,7.373403473552150068e-06
4.317000000000000171e+00,7.451448768510781422e-06
4.318000000000000504e+00,7.510287267269804119e-06
4.318999999999999950e+00,7.552723584163543130e-06
4.320000000000000284e+00,7.581012437944036047e-06
4.320999999999999730e+00,7.597242250975830689e-06
4.322000000000000064e+00,7.604205761236791460e-06
4.323000000000000398e+00,7.603265024336091534e-06
4.323999999999999844e+00,7.596111775078836787e-06
4.325000000000000178e+00,7.583953562810158681e-06
4.326000000000000512e+00,7.567823305063462181e-06
4.326999999999999957e+00,7.548431644760553878e-06
4.328000000000000291e+00,7.529492979898295930e-06
4.328999999999999737e+00,7.507712778788412872e-06
4.330000000000000071e+00,7.484118114952909854e-06
4.331000000000000405e+00,7.458809210864908530e-06
4.331999999999999851e+00,7.432904494060929637e-06
4.333000000000000185e+00,7.406362844795029612e-06
4.334000000000000519e+00,7.379438323169200993e-06
4.334999999999999964e+00,7.352478592231533669e-06
4.336000000000000298e+00,7.325612511858566961e-06
